Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_23,Day42,11.63422,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day49,16.24785,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day56,16.63601,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day63,48.08993,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day77,21.7416,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day91,18.49807,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day14,8.62693,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day21,2.73251,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day28,10.82377,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day35,14.60487,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day42,13.76342,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day49,24.74326,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day56,13.96219,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day63,23.90332,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day77,18.38083,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_24,Day91,16.59922,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day14,5.796994,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day21,4.442121,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day28,17.68403,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day35,19.94098,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day42,28.62855,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day49,49.51188,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day56,44.88758,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day63,96.73872,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day77,69.63625,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_25,Day91,48.75227,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day14,2.691496,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day21,4.191208,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day28,180.203,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day35,28.45502,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day42,29.62365,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day49,23.45652,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day56,42.93338,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day63,22.89327,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day77,16.20938,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_26,Day91,14.48739,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day14,6.846167,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day21,6.142015,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_27,Day28,42.11132,Exp Increase 1wk,Fig2C-Blue
